Tiempo(ms),RPM
3638,8250.00
3642,8250.00
3646,9000.00
3650,8250.00
3654,8250.00
3658,9000.00
3662,9000.00
3666,8250.00
3670,9750.00
3674,8250.00
3678,9000.00
3682,9750.00
3686,8250.00
3690,9000.00
3694,9000.00
3698,8250.00
3702,9000.00
3706,9000.00
3710,9000.00
3714,9000.00
3718,8250.00
3722,9750.00
3726,8250.00
3730,8250.00
3734,9750.00
3738,8250.00
3742,8250.00
3746,9000.00
3750,9000.00
3754,8250.00
3758,8250.00
3762,10500.00
3766,9750.00
3770,8250.00
3774,9000.00
3778,9000.00
3782,9000.00
3786,9750.00
3790,8250.00
3794,9000.00
3798,9750.00
3802,8250.00
3806,8250.00
3810,9750.00
3814,9000.00
3818,9000.00
3822,9000.00
3826,9000.00
3830,8250.00
3834,8250.00
3838,10500.00
3842,8250.00
3846,9000.00
3850,9750.00
3854,9000.00
3858,8250.00
3862,9000.00
3866,9000.00
3870,9000.00
3874,8250.00
3878,9000.00
3882,9000.00
3938,9000.00
3942,9750.00
3946,8250.00
3950,9750.00
3954,9000.00
3958,8250.00
3962,9000.00
3966,9750.00
3970,9000.00
3974,9000.00
3978,8250.00
3982,9750.00
3986,8250.00
3990,8250.00
3994,10500.00
3998,8250.00
4002,9000.00
